WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
12.798464749138962, 2.53436742424241, 0.8645500869905588 
24.097180603936895, 3.199112373737348, 0.7437058162573335
30.337524700068982, 3.00981060606063, 0.5974629910894538 
19.45541625562441, 3.0938080808080834, 0.8180189844424025 
11.953629213518262, 2.4467155844155783, 0.8790317798872113 
14.090583723553666, 2.64601688311687, 0.858015357656647
12.221055347284635, 2.4488766233766275, 0.7708370662754978
17.495045424144095, 3.088990909090923, 0.8012782008061787
16.15332672786308, 3.0294779220779398, 0.7922130966378056
14.584791865171422, 2.5848207792208022, 0.7713068337361771
WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
26.158642188361192, 3.4772929292929513, 0.801456466078353, 
24.478042315886057, 3.218896464646428, 0.753353283351835, 
30.400983667814575, 2.891792929292942, 0.48152210005959006, 
13.332724686696439, 2.416092171717191, 0.8151678477285939, 
10.27502218134595, 2.4663558441558453, 0.8541392448307067, 
21.0475794818181, 3.2570415584415553, 0.8273120501996631, 
11.819457454132017, 2.305897402597396, 0.7890682011152936, 
14.861485133235211, 2.6490740259740417, 0.8351145782945836, 
8.5561709403188, 2.3734922077921987, 0.8873000023667211, 
14.70427030572615, 2.883744155844164, 0.8233956973467631, 
WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
22.348823855659123, 3.21550883838386, 0.7721146108744869, 
7.116646144628084, 1.9330227272727183, 0.8629717616386683, 
7.327592656049144, 2.197521464646469, 0.8709443314154193, 
20.022265290174495, 2.9436338383838354, 0.8024373092155666, 
10.12521808996445, 2.4823480519480294, 0.8432123555299117, 
10.4649523610391, 2.2620935064935495, 0.8676815554830107, 
38.99792273760307, 3.637162337662312, 0.6858052203402827, 
24.728309029043494, 3.173233766233756, 0.7725420687273147, 
20.60413317768609, 3.238527272727296, 0.8201258749231906, 
13.579131902361299, 2.7277350649350742, 0.8125425658253963, 
WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
10.427009896407235, 2.353799242424233, 0.8424107985223726, 
42.78425734934573, 3.2879886363636626, 0.6759688925544203, 
20.20140079717643, 3.148613636363655, 0.7644893229722791, 
9.369221380911101, 2.5028446969696607, 0.813063412441232, 
19.999396070779294, 3.027741558441569, 0.8252064218481117, 
18.33025902142865, 3.1663467532467586, 0.8208569505312319, 
18.691306746517157, 3.217903896103897, 0.7909118832217996, 
11.769474232880668, 2.646640259740254, 0.8483727660949922, 
11.54219655177073, 2.3143103896103527, 0.8533433228504892, 
9.866229889020053, 2.4571506493506656, 0.8449570857528381, 
WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
15.394304079028851, 2.9595265151515133, 0.8267550525120635, 
8.051602252984495, 2.1661565656565815, 0.8708799543073225, 
15.14689323559451, 2.702816919191927, 0.8045738832716987, 
12.105841135330698, 2.635982323232327, 0.8693093118135006, 
11.782597117945645, 2.275696103896113, 0.847823252311712, 
40.674274319126326, 4.049758441558434, 0.6997563869369723, 
20.34611884976383, 2.5313883116883007, 0.6390484166590296, 
22.812525277391146, 3.302518181818202, 0.8021355120736272, 
12.88724936936233, 2.5236688311688087, 0.834656512171027, 
16.03743881540711, 2.884429870129853, 0.7912061690487953, 
WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
15.511074233987365, 3.1451426767676405, 0.8465618635800896, 
7.081432445592224, 1.8239924242424013, 0.8081908513933299, 
14.402116819387196, 2.8728573232323282, 0.6933422107396301, 
111.81695242470204, 6.056166666666687, 0.32022406235469414, 
13.82454614073195, 2.803366233766225, 0.8518439770566296, 
6.514195854604518, 1.9969571428571644, 0.9082554039014924, 
10.308884091499378, 2.560451948051958, 0.8962961657180473, 
12.532823328453192, 2.2921818181818, 0.8146507903253535, 
17.10570195425049, 2.856863636363672, 0.8313056107904845, 
16.283410228630387, 2.685606493506488, 0.7823264494736877, 
WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
16.256620391299343, 2.8955580808080987, 0.8067837857732113, 
14.579928417298103, 2.9599255050505047, 0.8112121488992963, 
18.18899657420792, 2.8950972222222107, 0.8376469557078474, 
15.19879679671729, 2.805416666666679, 0.8678179958663977, 
35.517735493683595, 3.5838818181818093, 0.6600346114538072, 
14.265490299055466, 2.6491948051948047, 0.8170506238588142, 
15.586230267296235, 2.6996233766233613, 0.8387267357561133, 
17.784498244450827, 2.3551571428571476, 0.7205108653889284, 
10.038400923317576, 2.413767532467532, 0.7835425824713903, 
13.05336958878386, 2.5038311688311725, 0.8293422227008946, 
WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
12.547628687442574, 2.2601944444444495, 0.800647364136474, 
13.90358747560824, 2.8146123737373454, 0.8462730870769991, 
24.604493059630304, 2.978571969696974, 0.7834903296394875, 
13.15407517229121, 2.9028661616161617, 0.8380940342568445, 
19.19196353500577, 3.420853246753237, 0.8143983361928743, 
36.83781826942164, 3.6153116883117007, 0.49860549896600204, 
18.333575586599814, 2.984177922077921, 0.8116641344576638, 
12.353029011747275, 2.5178324675324566, 0.8646842008554859, 
14.957733905903174, 2.791794805194807, 0.8110272201350609, 
9.793459862396864, 2.1005181818182153, 0.8532820564228554, 
WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
10.562697436007861, 2.293023989898996, 0.7981371592171514, 
16.340535485537014, 2.9534318181818002, 0.8594801558463318, 
22.833403766873264, 2.926911616161616, 0.6845153475595831, 
17.438831865932382, 3.0092247474747547, 0.8293173904415344, 
37.895701347284586, 3.361946753246762, 0.644683457815014, 
10.184168768122746, 2.1164545454545354, 0.845551980392179, 
15.30725159350649, 2.6600441558441497, 0.8673852708928432, 
12.982602497284494, 2.754420779220785, 0.7868605750913941, 
21.911258329280045, 3.580883116883144, 0.81074184742488, 
10.221986728984554, 2.426848051948048, 0.8106878085598519, 
WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
7.852901194329683, 1.9582121212121228, 0.8631024255738913, 
16.915602628615616, 2.3808472222222257, 0.7742807499872756, 
16.569688122417464, 3.0331022727272634, 0.8258383237752654, 
17.422403748450286, 2.8495795454545467, 0.8070740548443603, 
39.46714758164102, 3.4134532467532264, 0.5977238297840861, 
17.430369937308225, 3.1953220779220928, 0.7479053131684386, 
9.764190199527908, 2.3923194805195034, 0.825133725023659, 
15.3373526076741, 2.6507038961038862, 0.8372831530227542, 
13.893335018418002, 2.5631792207792374, 0.8749469282727083, 
19.974188031641127, 3.1174493506493612, 0.8099766137038655, 
