WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
33.30463028176965, 3.255761210736002, 0.5722269115124794, 
13.700358602925128, 2.689783167621606, 0.8083865929660821, 
13.854014962477827, 2.9592964302820643, 0.8280409159704066, 
14.987600317547551, 3.0326323026195423, 0.8504641447421943, 
7.281725077925277, 2.203872548656454, 0.7494938486226699, 
40.65939325345843, 3.698889786507308, 0.7015842406406614, 
17.12156106170794, 2.924429196274045, 0.8247417758845194, 
8.628265169087301, 1.924019047767402, 0.897189878532563, 
13.514188613407892, 2.4995064623980996, 0.7797101247654082, 
17.47154797880227, 2.973218449791738, 0.8621808366054934, 
WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
6.939817161072912, 1.9560248250939811, 0.8575237232148097
12.510977774417373, 2.746522612761128, 0.8269753052631369
16.001489284526727, 2.7688445954099397, 0.815512153769451
18.54746567919839, 3.005582622948638, 0.7870955447242456
13.38786896660982, 2.8072727163776605, 0.8760873845178471
11.842878057796206, 2.55420296139591, 0.8546952203620805
39.80305123563581, 3.724517348598794, 0.5438911566320386
18.06164992487352, 2.949025167158436, 0.82170790570049
22.269184571396316, 2.9259468538879534, 0.7555605456429391
16.97519139597258, 2.6657914307783774, 0.8240841973624873
WARNING: FOLDS 5-10 (INC.) ONLY HAVE 35 TRUE PREDICTIONS - IGNORE PREDICTION 36 
20.117011112772957, 3.0179546181875327, 0.8121996913544939
21.45541907562994, 3.292034730969074, 0.7827936119836065
14.417434476253296, 2.8622316539962083, 0.6946590388673854
11.35773074763538, 2.495946560120494, 0.875904905550942
9.107400554451557, 2.1309742192953043, 0.8745906002214544
15.363047559046146, 2.669268891754074, 0.8431597404862656
20.045997722406312, 2.6831712550920024, 0.7584907437846103
43.49394115880311, 3.5403073570251684, 0.6950448994242961
11.174991136923378, 2.7329253657959645, 0.8248688099924962
11.799751349927075, 2.685095719628575, 0.8131752856822604
